date,P_Kweek_84_Kday_-62_ETE_68_ORD_66_EXT_80_E2Ekor_78_EXTkor_65_DIFF_23,a,b,c,d,e
Sat Apr 11 23:00:00 UTC 2026,-88.62674784188607,79.61999999999534,null,null,null,223.48538461537993
Sun Apr 12 00:00:00 UTC 2026,-73.81620221077935,79.61999999999534,null,null,null,210.00461538461076
Sun Apr 12 01:00:00 UTC 2026,-68.23831751657156,79.61999999999534,null,null,null,196.52384615384148
Sun Apr 12 02:00:00 UTC 2026,-73.73788557700732,79.61999999999534,null,null,null,183.04307692307222
Sun Apr 12 03:00:00 UTC 2026,-86.50349688183894,79.61999999999534,null,null,null,169.56230769230305
Sun Apr 12 04:00:00 UTC 2026,-83.63188697686928,79.61999999999534,null,null,null,156.08153846153377
Sun Apr 12 05:00:00 UTC 2026,-99.02545643716712,79.61999999999534,null,null,null,142.60076923076457
Sun Apr 12 06:00:00 UTC 2026,-92.82103867278227,79.61999999999534,null,null,null,129.11999999999534
Sun Apr 12 07:00:00 UTC 2026,-108.79763196227111,79.61999999999534,null,null,null,115.63923076922612
Sun Apr 12 08:00:00 UTC 2026,-90.96754500685017,79.61999999999534,null,null,null,102.15846153845692
Sun Apr 12 09:00:00 UTC 2026,-77.60150617642807,79.61999999999534,null,null,null,88.67769230768764
Sun Apr 12 10:00:00 UTC 2026,-81.56954895420745,79.61999999999534,null,null,null,75.19692307691842
Sun Apr 12 11:00:00 UTC 2026,-81.16056208895986,79.61999999999534,null,null,null,61.71615384614921
Sun Apr 12 12:00:00 UTC 2026,-84.35414037721773,79.61999999999534,null,null,null,48.235384615379985
Sun Apr 12 13:00:00 UTC 2026,-84.19750710967355,79.61999999999534,null,null,null,34.7546153846107
Sun Apr 12 14:00:00 UTC 2026,-78.31505772857679,79.61999999999534,null,null,null,21.273846153841475
Sun Apr 12 15:00:00 UTC 2026,-81.48253047223568,79.61999999999534,null,null,null,7.793076923072249
Sun Apr 12 16:00:00 UTC 2026,-76.55728439280381,79.61999999999534,null,null,null,-5.687692307696949
Sun Apr 12 17:00:00 UTC 2026,-82.43973377390057,79.61999999999534,null,null,null,-19.168461538466232
Sun Apr 12 18:00:00 UTC 2026,-93.36055326098744,79.61999999999534,null,null,null,-32.64923076923543
Sun Apr 12 19:00:00 UTC 2026,-93.04728672589897,79.61999999999534,null,null,null,-46.13000000000466
Sun Apr 12 20:00:00 UTC 2026,-121.70247283826018,79.61999999999534,null,null,null,-59.61076923077388
Sun Apr 12 21:00:00 UTC 2026,-121.70247283826018,136.61999999999534,null,null,null,-73.09153846154311
Sun Apr 12 22:00:00 UTC 2026,-97.58094963648261,141.61999999999534,null,null,null,-86.57230769231234
Sun Apr 12 23:00:00 UTC 2026,-115.62858279683303,163.61999999999534,null,null,null,-100.05307692308156
Mon Apr 13 00:00:00 UTC 2026,-159.24224595963307,30.619999999995343,null,null,null,-113.53384615385079
Mon Apr 13 01:00:00 UTC 2026,-105.36910377269692,184.61999999999534,null,null,null,-127.01461538462004
Mon Apr 13 02:00:00 UTC 2026,-111.06881434166274,48.61999999999534,null,null,null,-140.49538461538927
Mon Apr 13 03:00:00 UTC 2026,-110.95569031510445,32.61999999999534,null,null,null,-153.97615384615852
Mon Apr 13 04:00:00 UTC 2026,-113.0093264895666,121.61999999999534,null,null,null,-167.45692307692775
Mon Apr 13 05:00:00 UTC 2026,-22.849477321599124,152.61999999999534,null,null,null,-180.93769230769698
Mon Apr 13 06:00:00 UTC 2026,-382.20100046031644,-245.38000000000466,null,null,null,-194.4184615384662
Mon Apr 13 07:00:00 UTC 2026,-497.0653966592526,-334.38000000000466,null,null,null,-207.89923076923543
Mon Apr 13 08:00:00 UTC 2026,-621.3800000000047,-621.3800000000047,-521.3800000000047,-421.38000000000466,null,-221.38000000000466
Mon Apr 13 09:00:00 UTC 2026,-394.95790991696083,-45.38000000000466,-476.8638709677466,-376.8638709677466,null,null
Mon Apr 13 10:00:00 UTC 2026,-492.1053431870221,-127.38000000000466,-432.3477419354885,-332.3477419354885,null,null
Mon Apr 13 11:00:00 UTC 2026,-282.3124850082308,26.619999999995343,-387.8316129032305,-287.83161290323045,null,null
Mon Apr 13 12:00:00 UTC 2026,-288.4298842906439,-31.380000000004657,-343.3154838709724,-243.31548387097243,null,null
Mon Apr 13 13:00:00 UTC 2026,-248.81907129840943,-79.38000000000466,-298.7993548387144,-198.79935483871438,null,null
Mon Apr 13 14:00:00 UTC 2026,-223.4792893490765,19.619999999995343,-254.28322580645624,-154.28322580645627,null,null
Mon Apr 13 15:00:00 UTC 2026,-227.56045615341424,-38.38000000000466,-209.76709677419822,-109.7670967741982,null,null
Mon Apr 13 16:00:00 UTC 2026,-214.48157831349403,166.61999999999534,-165.25096774194014,-65.25096774194014,null,null
Mon Apr 13 17:00:00 UTC 2026,-154.28219248741493,134.61999999999534,-120.7348387096821,-20.734838709682094,null,null
Mon Apr 13 18:00:00 UTC 2026,-28.479573104992483,190.61999999999534,-76.21870967742399,23.781290322576012,null,null
Mon Apr 13 19:00:00 UTC 2026,-14.80026773948191,255.61999999999534,-31.702580645165938,68.29741935483412,null,null
Mon Apr 13 20:00:00 UTC 2026,-83.04016129947854,230.61999999999534,12.813548387092112,112.81354838709206,null,null
Mon Apr 13 21:00:00 UTC 2026,-71.37968471565625,175.61999999999534,57.32967741935016,157.3296774193502,null,null
Mon Apr 13 22:00:00 UTC 2026,-176.28046472914548,136.61999999999534,101.84580645160827,201.84580645160827,null,null
Mon Apr 13 23:00:00 UTC 2026,-122.71188722909818,314.61999999999534,146.36193548386632,246.36193548386632,null,null
Tue Apr 14 00:00:00 UTC 2026,-44.39525345709626,357.61999999999534,190.87806451612434,290.87806451612437,null,null
Tue Apr 14 01:00:00 UTC 2026,83.7481630902779,540.6199999999953,235.3941935483824,335.3941935483824,null,null
