date,P_Kweek_-61_Kday_82_ETE_65_ORD_65_EXT_79_E2Ekor_74_EXTkor_64_DIFF_27,a,b,c,d,e
Sun Apr 12 04:00:00 UTC 2026,-322.25315267498195,0.914809999987483,null,null,null,-257.71376142858395
Sun Apr 12 05:00:00 UTC 2026,-323.60074209954803,0.914809999987483,null,null,null,-271.5423328571554
Sun Apr 12 06:00:00 UTC 2026,-324.94833152412923,0.914809999987483,null,null,null,-285.37090428572685
Sun Apr 12 07:00:00 UTC 2026,-341.11940461899826,0.914809999987483,null,null,null,-299.1994757142982
Sun Apr 12 08:00:00 UTC 2026,-322.25315267498195,0.914809999987483,null,null,null,-313.02804714286964
Sun Apr 12 09:00:00 UTC 2026,-314.16761612754,0.914809999987483,null,null,null,-326.8566185714411
Sun Apr 12 10:00:00 UTC 2026,-314.16761612754,0.914809999987483,null,null,null,-340.68519000001254
Sun Apr 12 11:00:00 UTC 2026,-324.94833152412923,0.914809999987483,null,null,null,-354.51376142858396
Sun Apr 12 12:00:00 UTC 2026,-322.25315267498195,0.914809999987483,null,null,null,-368.3423328571553
Sun Apr 12 13:00:00 UTC 2026,-314.16761612754,0.914809999987483,null,null,null,-382.1709042857268
Sun Apr 12 14:00:00 UTC 2026,-314.16761612754,0.914809999987483,null,null,null,-395.9994757142982
Sun Apr 12 15:00:00 UTC 2026,-314.16761612754,0.914809999987483,null,null,null,-409.8280471428697
Sun Apr 12 16:00:00 UTC 2026,-315.5152055521211,0.914809999987483,null,null,null,-423.6566185714411
Sun Apr 12 17:00:00 UTC 2026,-318.21038440126836,0.914809999987483,null,null,null,-437.4851900000125
Sun Apr 12 18:00:00 UTC 2026,-322.25315267498195,0.914809999987483,null,null,null,-451.3137614285839
Sun Apr 12 19:00:00 UTC 2026,-328.9910997978428,0.914809999987483,null,null,null,-465.1423328571554
Sun Apr 12 20:00:00 UTC 2026,-353.2477094401388,0.914809999987483,null,null,null,-478.97090428572676
Sun Apr 12 21:00:00 UTC 2026,-353.2477094401388,-117.08519000001252,null,null,null,-492.7994757142982
Sun Apr 12 22:00:00 UTC 2026,-319.55797382583455,-103.08519000001252,null,null,null,-506.62804714286966
Sun Apr 12 23:00:00 UTC 2026,-318.21038440126836,-280.0851900000125,null,null,null,-520.456618571441
Mon Apr 13 00:00:00 UTC 2026,-359.9856565629998,-12.085190000012517,null,null,null,-534.2851900000126
Mon Apr 13 01:00:00 UTC 2026,-334.3814574961375,-264.0851900000125,null,null,null,-548.1137614285839
Mon Apr 13 02:00:00 UTC 2026,-315.5152055521211,-401.0851900000125,null,null,null,-561.9423328571554
Mon Apr 13 03:00:00 UTC 2026,-315.5152055521211,-313.0851900000125,null,null,null,-575.7709042857268
Mon Apr 13 04:00:00 UTC 2026,-318.21038440126836,-347.0851900000125,null,null,null,-589.5994757142983
Mon Apr 13 05:00:00 UTC 2026,-280.4778805132356,-373.0851900000125,null,null,null,-603.4280471428697
Mon Apr 13 06:00:00 UTC 2026,-730.5727483203915,-847.0851900000125,null,null,null,-617.2566185714411
Mon Apr 13 07:00:00 UTC 2026,-853.2033859564681,-1031.0851900000125,-931.0851900000125,-831.0851900000125,null,-631.0851900000125
Mon Apr 13 08:00:00 UTC 2026,-1031.0851900000125,-853.0851900000125,-902.154957441873,-802.1549574418729,null,-602.154957441873
Mon Apr 13 09:00:00 UTC 2026,-948.8822351011012,-748.0851900000125,-873.2247248837334,-773.2247248837335,null,-573.2247248837334
Mon Apr 13 10:00:00 UTC 2026,-986.6147389891339,-851.0851900000125,-844.2944923255939,-744.2944923255939,null,-544.2944923255939
Mon Apr 13 11:00:00 UTC 2026,-803.3425772472947,-674.0851900000125,-815.3642597674543,-715.3642597674543,null,-515.3642597674544
Mon Apr 13 12:00:00 UTC 2026,-779.0859676049987,-894.0851900000125,-786.4340272093149,-686.4340272093148,null,-486.4340272093149
