date,P_Kweek_-9_Kday_-76_ETE_64_ORD_62_EXT_77_E2Ekor_76_EXTkor_63_DIFF_26,a,b,c,d,e
Sun Apr 05 10:00:00 UTC 2026,114.46804,82.68500000005588,null,null,null,null
Sun Apr 05 11:00:00 UTC 2026,114.45689,82.68500000005588,null,null,null,null
Sun Apr 05 12:00:00 UTC 2026,114.47441,82.68500000005588,null,null,null,null
Sun Apr 05 13:00:00 UTC 2026,114.48706,82.68500000005588,null,null,null,null
Sun Apr 05 14:00:00 UTC 2026,114.47898,82.68500000005588,null,null,null,null
Sun Apr 05 15:00:00 UTC 2026,114.48086,82.68500000005588,null,null,null,null
Sun Apr 05 16:00:00 UTC 2026,114.47555,82.68500000005588,null,null,null,null
Sun Apr 05 17:00:00 UTC 2026,114.48163,82.68500000005588,null,null,null,null
Sun Apr 05 18:00:00 UTC 2026,114.48936,82.68500000005588,null,null,null,null
Sun Apr 05 19:00:00 UTC 2026,114.4806,82.68500000005588,null,null,null,null
Sun Apr 05 20:00:00 UTC 2026,114.47416,82.68500000005588,null,null,null,null
Sun Apr 05 21:00:00 UTC 2026,114.47532,-328.3149999999441,null,null,null,null
Sun Apr 05 22:00:00 UTC 2026,114.45865,-432.3149999999441,null,null,null,null
Sun Apr 05 23:00:00 UTC 2026,114.45865,225.68500000005588,null,null,null,null
Mon Apr 06 00:00:00 UTC 2026,114.43764,427.6850000000559,null,null,null,null
Mon Apr 06 01:00:00 UTC 2026,114.5146,453.6850000000559,null,null,null,null
Mon Apr 06 02:00:00 UTC 2026,114.42477,345.6850000000559,null,null,null,null
Mon Apr 06 03:00:00 UTC 2026,114.42922,589.6850000000559,null,null,null,null
Mon Apr 06 04:00:00 UTC 2026,114.47576,985.6850000000559,null,null,null,1385.6850000000559
Mon Apr 06 05:00:00 UTC 2026,114.43437,735.6850000000559,null,null,null,1300.085000000056
Mon Apr 06 06:00:00 UTC 2026,114.46009,744.6850000000559,null,null,null,1214.485000000056
Mon Apr 06 07:00:00 UTC 2026,114.5593,758.6850000000559,null,null,null,1128.8850000000557
Mon Apr 06 08:00:00 UTC 2026,114.57659,759.6850000000559,null,null,null,1043.2850000000558
Mon Apr 06 09:00:00 UTC 2026,114.50317,970.6850000000559,null,null,null,957.6850000000559
Mon Apr 06 10:00:00 UTC 2026,114.56996,709.6850000000559,null,null,null,872.085000000056
Mon Apr 06 11:00:00 UTC 2026,114.57749,795.6850000000559,null,null,null,786.4850000000558
Mon Apr 06 12:00:00 UTC 2026,114.50287,496.6850000000559,null,null,null,700.8850000000559
Mon Apr 06 13:00:00 UTC 2026,114.4646,796.6850000000559,null,null,null,615.2850000000559
Mon Apr 06 14:00:00 UTC 2026,114.51813,129.68500000005588,229.68500000005588,null,429.6850000000559,529.6850000000559
Mon Apr 06 15:00:00 UTC 2026,114.49055,406.6850000000559,455.4850000000559,null,655.485000000056,755.485000000056
Mon Apr 06 16:00:00 UTC 2026,114.47769,972.6850000000559,681.2850000000558,null,881.285000000056,981.285000000056
Mon Apr 06 17:00:00 UTC 2026,114.54627,1036.6850000000559,907.085000000056,null,1107.0850000000557,1207.0850000000557
Mon Apr 06 18:00:00 UTC 2026,114.49442,1012.6850000000559,1132.885000000056,null,1332.8850000000562,1432.8850000000562
Mon Apr 06 19:00:00 UTC 2026,114.48783,1258.6850000000559,1358.6850000000559,null,1558.6850000000559,1658.6850000000559
Mon Apr 06 20:00:00 UTC 2026,114.53689,992.6850000000559,null,null,null,null
Mon Apr 06 21:00:00 UTC 2026,114.52015,704.6850000000559,null,null,null,null
Mon Apr 06 22:00:00 UTC 2026,114.62928,1003.6850000000559,null,null,null,null
Mon Apr 06 23:00:00 UTC 2026,114.58555,1039.6850000000559,null,null,null,null
Tue Apr 07 00:00:00 UTC 2026,114.67834,1529.6850000000559,null,null,null,null
Tue Apr 07 01:00:00 UTC 2026,114.77702,1290.6850000000559,null,null,null,null
Tue Apr 07 02:00:00 UTC 2026,114.77551,1513.6850000000559,null,null,null,null
