date,P_Kweek_89_Kday_-13_ETE_67_ORD_68_EXT_83_E2Ekor_79_EXTkor_64_DIFF_26,a,b,c,d,e
Thu Apr 09 08:00:00 UTC 2026,-136.2850000000035,86.71499999999651,null,null,null,null
Thu Apr 09 09:00:00 UTC 2026,-110.21243677654971,-6.2850000000034925,null,null,null,null
Thu Apr 09 10:00:00 UTC 2026,-75.83844840559087,-136.2850000000035,null,null,null,null
Thu Apr 09 11:00:00 UTC 2026,58.35832620401237,26.714999999996508,null,null,null,null
Thu Apr 09 12:00:00 UTC 2026,92.34562777423884,77.71499999999651,null,null,null,null
Thu Apr 09 13:00:00 UTC 2026,64.03521753382901,64.71499999999651,null,null,null,null
Thu Apr 09 14:00:00 UTC 2026,64.02699015508753,17.714999999996508,null,null,null,null
Thu Apr 09 15:00:00 UTC 2026,83.54233252366754,163.7149999999965,null,null,null,null
Thu Apr 09 16:00:00 UTC 2026,67.99258670721537,51.71499999999651,null,null,null,null
Thu Apr 09 17:00:00 UTC 2026,70.08234090689504,100.71499999999651,null,null,null,null
Thu Apr 09 18:00:00 UTC 2026,335.65389921864113,348.7149999999965,null,null,null,null
Thu Apr 09 19:00:00 UTC 2026,371.2619944004236,446.7149999999965,null,null,null,null
Thu Apr 09 20:00:00 UTC 2026,339.51253984715316,362.7149999999965,null,null,null,null
Thu Apr 09 21:00:00 UTC 2026,326.9246503766963,341.7149999999965,null,null,null,null
Thu Apr 09 22:00:00 UTC 2026,378.48563293314635,29.714999999996508,null,null,null,null
Thu Apr 09 23:00:00 UTC 2026,473.9561358189071,279.7149999999965,null,null,null,null
Fri Apr 10 00:00:00 UTC 2026,815.7954950399164,474.7149999999965,null,null,null,null
Fri Apr 10 01:00:00 UTC 2026,696.1529534193745,342.7149999999965,null,null,null,null
Fri Apr 10 02:00:00 UTC 2026,688.7154030394437,347.7149999999965,null,null,null,null
Fri Apr 10 03:00:00 UTC 2026,648.1955627505444,231.7149999999965,null,null,null,null
Fri Apr 10 04:00:00 UTC 2026,585.0092940360861,351.7149999999965,null,null,null,null
Fri Apr 10 05:00:00 UTC 2026,497.6345318293636,401.7149999999965,null,null,null,null
Fri Apr 10 06:00:00 UTC 2026,578.8305326032032,512.7149999999965,null,null,null,null
Fri Apr 10 07:00:00 UTC 2026,481.3690040626369,424.7149999999965,null,null,null,null
Fri Apr 10 08:00:00 UTC 2026,591.2950113925848,481.7149999999965,null,null,null,null
Fri Apr 10 09:00:00 UTC 2026,532.9958056489953,363.7149999999965,null,null,null,null
Fri Apr 10 10:00:00 UTC 2026,490.7811253398903,90.71499999999651,null,null,null,null
Fri Apr 10 11:00:00 UTC 2026,518.8693963543739,374.7149999999965,null,null,null,null
Fri Apr 10 12:00:00 UTC 2026,531.8604273830226,566.7149999999965,null,null,null,null
Fri Apr 10 13:00:00 UTC 2026,612.4476021301803,473.7149999999965,null,null,null,null
Fri Apr 10 14:00:00 UTC 2026,674.5067199574307,573.7149999999965,null,null,null,null
Fri Apr 10 15:00:00 UTC 2026,708.0661978332641,600.7149999999965,null,null,null,null
Fri Apr 10 16:00:00 UTC 2026,780.9360913233511,712.7149999999965,null,null,null,null
Fri Apr 10 17:00:00 UTC 2026,823.2495001773303,605.7149999999965,null,null,null,null
Fri Apr 10 18:00:00 UTC 2026,832.1432965940345,648.7149999999965,null,null,null,null
Fri Apr 10 19:00:00 UTC 2026,881.7955272830704,853.7149999999965,null,null,null,null
