date,P_Kweek_59_Kday_-33_ETE_58_ORD_57_EXT_75_E2Ekor_81_EXTkor_63_DIFF_21,a,b,c,d,e
Thu Apr 02 16:00:00 UTC 2026,1.67717,1.6424499999848194,null,null,null,null
Thu Apr 02 17:00:00 UTC 2026,1.67842,-149.35755000001518,null,null,null,null
Thu Apr 02 18:00:00 UTC 2026,1.67786,85.64244999998482,null,null,null,null
Thu Apr 02 19:00:00 UTC 2026,1.67511,197.64244999998482,null,null,null,null
Thu Apr 02 20:00:00 UTC 2026,1.67648,234.64244999998482,null,null,null,null
Thu Apr 02 21:00:00 UTC 2026,1.67629,-363.3575500000152,null,null,null,null
Thu Apr 02 22:00:00 UTC 2026,1.67709,-313.3575500000152,null,null,null,null
Thu Apr 02 23:00:00 UTC 2026,1.67746,-126.35755000001518,null,null,null,null
Fri Apr 03 00:00:00 UTC 2026,1.67476,-111.35755000001518,null,null,null,null
Fri Apr 03 01:00:00 UTC 2026,1.67253,-362.3575500000152,null,null,null,null
Fri Apr 03 02:00:00 UTC 2026,1.67102,-850.3575500000152,null,null,null,null
Fri Apr 03 03:00:00 UTC 2026,1.67093,-1114.3575500000152,null,null,null,null
Fri Apr 03 04:00:00 UTC 2026,1.67011,-998.3575500000152,null,null,null,null
Fri Apr 03 05:00:00 UTC 2026,1.67071,-1093.3575500000152,null,null,null,null
Fri Apr 03 06:00:00 UTC 2026,1.67054,-737.3575500000152,null,null,null,null
Fri Apr 03 07:00:00 UTC 2026,1.67005,-1228.3575500000152,null,null,null,null
Fri Apr 03 08:00:00 UTC 2026,1.66981,-857.3575500000152,null,null,null,null
Fri Apr 03 09:00:00 UTC 2026,1.67125,-730.3575500000152,null,null,null,null
Fri Apr 03 10:00:00 UTC 2026,1.6699,-420.3575500000152,null,null,null,null
Fri Apr 03 11:00:00 UTC 2026,1.67008,-748.3575500000152,null,null,null,null
Fri Apr 03 12:00:00 UTC 2026,1.66915,-623.3575500000152,null,null,null,null
Fri Apr 03 13:00:00 UTC 2026,1.66952,-891.3575500000152,null,null,null,null
Fri Apr 03 14:00:00 UTC 2026,1.67,-553.3575500000152,null,null,null,null
Fri Apr 03 15:00:00 UTC 2026,1.67034,-911.3575500000152,null,null,null,null
Fri Apr 03 16:00:00 UTC 2026,1.67002,-1032.3575500000152,null,null,null,null
Fri Apr 03 17:00:00 UTC 2026,1.67025,-1224.3575500000152,null,null,null,null
Fri Apr 03 18:00:00 UTC 2026,1.67008,-1211.3575500000152,null,null,null,null
Fri Apr 03 19:00:00 UTC 2026,1.67064,-885.3575500000152,null,null,null,null
Fri Apr 03 20:00:00 UTC 2026,1.67076,-1268.3575500000152,null,null,null,null
Fri Apr 03 21:00:00 UTC 2026,1.67129,-1268.3575500000152,null,null,null,null
Fri Apr 03 22:00:00 UTC 2026,1.67158,-1268.3575500000152,null,null,null,null
Fri Apr 03 23:00:00 UTC 2026,1.67116,-1268.3575500000152,null,null,null,null
Sat Apr 04 00:00:00 UTC 2026,1.67126,-1268.3575500000152,null,null,null,null
Sat Apr 04 01:00:00 UTC 2026,1.67092,-1268.3575500000152,null,null,null,null
Sat Apr 04 02:00:00 UTC 2026,1.67136,-1268.3575500000152,null,null,null,null
Sat Apr 04 03:00:00 UTC 2026,1.67158,-1268.3575500000152,null,null,null,null
Sat Apr 04 04:00:00 UTC 2026,1.67163,-1268.3575500000152,null,null,null,null
Sat Apr 04 05:00:00 UTC 2026,1.67137,-1268.3575500000152,null,null,null,null
Sat Apr 04 06:00:00 UTC 2026,1.67134,-1268.3575500000152,null,null,null,null
Sat Apr 04 07:00:00 UTC 2026,1.67224,-1268.3575500000152,null,null,null,null
Sat Apr 04 08:00:00 UTC 2026,1.67065,-1268.3575500000152,null,null,null,null
Sat Apr 04 09:00:00 UTC 2026,1.67125,-1268.3575500000152,null,null,null,null
Sat Apr 04 10:00:00 UTC 2026,1.67121,-1268.3575500000152,null,null,null,null
Sat Apr 04 11:00:00 UTC 2026,1.6712,-1268.3575500000152,null,null,null,null
Sat Apr 04 12:00:00 UTC 2026,1.67157,-1268.3575500000152,null,null,null,null
Sat Apr 04 13:00:00 UTC 2026,1.67124,-1268.3575500000152,null,null,null,null
Sat Apr 04 14:00:00 UTC 2026,1.67114,-1268.3575500000152,null,null,null,null
Sat Apr 04 15:00:00 UTC 2026,1.6711,-1268.3575500000152,null,null,null,null
Sat Apr 04 16:00:00 UTC 2026,1.67169,-1268.3575500000152,null,null,null,null
Sat Apr 04 17:00:00 UTC 2026,1.67133,-1268.3575500000152,null,null,null,null
Sat Apr 04 18:00:00 UTC 2026,1.67116,-1268.3575500000152,null,null,null,null
Sat Apr 04 19:00:00 UTC 2026,1.6712,-1268.3575500000152,null,null,null,null
Sat Apr 04 20:00:00 UTC 2026,1.67105,-1268.3575500000152,null,null,null,null
Sat Apr 04 21:00:00 UTC 2026,1.67099,-1268.3575500000152,null,null,null,null
Sat Apr 04 22:00:00 UTC 2026,1.67055,-1268.3575500000152,null,null,null,null
Sat Apr 04 23:00:00 UTC 2026,1.67159,-1268.3575500000152,null,null,null,null
Sun Apr 05 00:00:00 UTC 2026,1.6717,-1268.3575500000152,null,null,null,null
Sun Apr 05 01:00:00 UTC 2026,1.67158,-1268.3575500000152,null,null,null,null
Sun Apr 05 02:00:00 UTC 2026,1.67158,-1268.3575500000152,null,null,null,null
Sun Apr 05 02:00:00 UTC 2026,1.67133,-1268.3575500000152,null,null,null,null
Sun Apr 05 03:00:00 UTC 2026,1.67129,-1268.3575500000152,null,null,null,null
Sun Apr 05 04:00:00 UTC 2026,1.6715,-1268.3575500000152,null,null,null,null
