date,P_Kweek_72_Kday_-22_ETE_64_ORD_62_EXT_83_E2Ekor_82_EXTkor_64_DIFF_6474,a,b,c,d,e
Sat Apr 04 00:00:00 UTC 2026,184.06123,130.79000000003725,-230.00999999996276,null,null,69.99000000003724
Sat Apr 04 01:00:00 UTC 2026,184.01352,130.79000000003725,-210.80999999996277,null,null,89.19000000003726
Sat Apr 04 02:00:00 UTC 2026,183.88061,130.79000000003725,-191.60999999996272,null,null,108.39000000003726
Sat Apr 04 03:00:00 UTC 2026,183.93582,130.79000000003725,-172.40999999996274,null,null,127.59000000003728
Sat Apr 04 04:00:00 UTC 2026,183.90231,130.79000000003725,-153.20999999996275,null,null,146.79000000003725
Sat Apr 04 05:00:00 UTC 2026,183.89853,130.79000000003725,-134.0099999999627,null,null,165.99000000003724
Sat Apr 04 06:00:00 UTC 2026,183.84113,130.79000000003725,-114.80999999996274,null,null,185.19000000003726
Sat Apr 04 07:00:00 UTC 2026,183.81879,130.79000000003725,-95.60999999996277,null,null,204.39000000003725
Sat Apr 04 08:00:00 UTC 2026,183.89383,130.79000000003725,-76.40999999996276,null,null,223.59000000003726
Sat Apr 04 09:00:00 UTC 2026,183.9524,130.79000000003725,-57.20999999996275,null,null,242.79000000003725
Sat Apr 04 10:00:00 UTC 2026,183.91057,130.79000000003725,-38.00999999996276,null,null,261.99000000003724
Sat Apr 04 11:00:00 UTC 2026,183.91124,130.79000000003725,-18.80999999996277,null,null,281.19000000003723
Sat Apr 04 12:00:00 UTC 2026,183.93534,130.79000000003725,0.3900000000372472,null,null,300.3900000000373
Sat Apr 04 13:00:00 UTC 2026,183.90293,130.79000000003725,19.590000000037264,null,null,319.59000000003726
Sat Apr 04 14:00:00 UTC 2026,183.91708,130.79000000003725,38.79000000003728,null,null,338.79000000003725
Sat Apr 04 15:00:00 UTC 2026,183.88629,130.79000000003725,57.990000000037256,null,null,357.99000000003724
Sat Apr 04 16:00:00 UTC 2026,183.81769,130.79000000003725,77.19000000003726,null,null,377.19000000003723
Sat Apr 04 17:00:00 UTC 2026,183.78696,130.79000000003725,96.39000000003726,null,null,396.3900000000373
Sat Apr 04 18:00:00 UTC 2026,183.7683,130.79000000003725,115.59000000003725,null,null,415.5900000000373
Sat Apr 04 19:00:00 UTC 2026,183.83739,130.79000000003725,134.79000000003725,null,null,434.79000000003725
Sat Apr 04 20:00:00 UTC 2026,183.74331,130.79000000003725,153.99000000003724,null,null,453.99000000003724
Sat Apr 04 21:00:00 UTC 2026,183.73412,130.79000000003725,173.19000000003726,null,null,473.19000000003723
Sat Apr 04 22:00:00 UTC 2026,183.75129,130.79000000003725,192.39000000003728,null,null,492.3900000000373
Sat Apr 04 23:00:00 UTC 2026,183.81376,130.79000000003725,211.59000000003724,null,null,511.59000000003726
Sun Apr 05 00:00:00 UTC 2026,183.88284,130.79000000003725,230.79000000003725,null,null,530.7900000000373
Sun Apr 05 01:00:00 UTC 2026,183.85903,130.79000000003725,null,null,null,null
Sun Apr 05 02:00:00 UTC 2026,183.88413,130.79000000003725,null,null,null,null
Sun Apr 05 02:00:00 UTC 2026,183.90264,130.79000000003725,null,null,null,null
Sun Apr 05 03:00:00 UTC 2026,183.81198,130.79000000003725,null,null,null,null
Sun Apr 05 04:00:00 UTC 2026,183.85659,130.79000000003725,null,null,null,null
Sun Apr 05 05:00:00 UTC 2026,183.90092,130.79000000003725,null,null,null,null
Sun Apr 05 06:00:00 UTC 2026,183.90503,130.79000000003725,null,null,null,null
Sun Apr 05 07:00:00 UTC 2026,183.90839,130.79000000003725,null,null,null,null
Sun Apr 05 08:00:00 UTC 2026,183.82932,130.79000000003725,null,null,null,null
Sun Apr 05 09:00:00 UTC 2026,183.83178,130.79000000003725,null,null,null,null
Sun Apr 05 10:00:00 UTC 2026,183.87663,130.79000000003725,null,null,null,null
Sun Apr 05 11:00:00 UTC 2026,183.8792,130.79000000003725,null,null,null,null
Sun Apr 05 12:00:00 UTC 2026,183.91148,130.79000000003725,null,null,null,null
Sun Apr 05 13:00:00 UTC 2026,183.89951,130.79000000003725,null,null,null,null
Sun Apr 05 14:00:00 UTC 2026,183.91163,130.79000000003725,null,null,null,null
Sun Apr 05 15:00:00 UTC 2026,183.92111,130.79000000003725,null,null,null,null
Sun Apr 05 16:00:00 UTC 2026,183.92546,130.79000000003725,null,null,null,null
Sun Apr 05 17:00:00 UTC 2026,183.91486,130.79000000003725,null,null,null,null
Sun Apr 05 18:00:00 UTC 2026,183.91942,130.79000000003725,null,null,null,null
Sun Apr 05 19:00:00 UTC 2026,183.92437,130.79000000003725,null,null,null,null
Sun Apr 05 20:00:00 UTC 2026,183.92867,130.79000000003725,null,null,null,530.7900000000373
Sun Apr 05 21:00:00 UTC 2026,183.92867,-2033.2099999999627,null,null,null,-516.2099999999627
Sun Apr 05 22:00:00 UTC 2026,183.85253,-1963.2099999999627,-1863.2099999999627,null,null,-1563.2099999999627
Sun Apr 05 23:00:00 UTC 2026,183.85253,-371.20999999996275,-864.7099999999627,null,null,null
Mon Apr 06 00:00:00 UTC 2026,183.74537,33.79000000003725,133.79000000003725,null,null,null
Mon Apr 06 01:00:00 UTC 2026,184.03195,-120.20999999996275,null,null,null,null
Mon Apr 06 02:00:00 UTC 2026,183.9424,-383.20999999996275,null,null,null,null
Mon Apr 06 03:00:00 UTC 2026,183.87811,-335.20999999996275,null,null,null,null
Mon Apr 06 04:00:00 UTC 2026,183.91621,-539.2099999999627,null,null,null,null
Mon Apr 06 05:00:00 UTC 2026,183.74797,-710.2099999999627,-610.2099999999627,null,null,null
Mon Apr 06 06:00:00 UTC 2026,183.90882,-476.20999999996275,-353.87666666662943,null,null,null
Mon Apr 06 07:00:00 UTC 2026,183.97886,-344.20999999996275,-97.54333333329609,null,null,null
