date,P_Kweek_3_Kday_20_ETE_61_ORD_60_EXT_76_E2Ekor_73_EXTkor_60_DIFF_24,a,b,c,d,e
Sat Apr 11 12:00:00 UTC 2026,198.0018626191851,2.088019999995595,null,139.52661649122365,null,339.52661649122365
Sat Apr 11 13:00:00 UTC 2026,201.8329941527776,2.088019999995595,null,150.0412363742646,null,350.0412363742646
Sat Apr 11 14:00:00 UTC 2026,199.53431523260167,2.088019999995595,null,160.55585625730552,null,360.5558562573055
Sat Apr 11 15:00:00 UTC 2026,191.8720521654169,2.088019999995595,null,171.07047614034647,null,371.0704761403465
Sat Apr 11 16:00:00 UTC 2026,193.40450477886736,2.088019999995595,null,181.5850960233874,null,381.5850960233874
Sat Apr 11 17:00:00 UTC 2026,193.40450477886736,2.088019999995595,null,192.09971590642834,null,392.0997159064283
Sat Apr 11 18:00:00 UTC 2026,198.0018626191851,2.088019999995595,null,202.61433578946927,null,402.6143357894693
Sat Apr 11 19:00:00 UTC 2026,192.63827847214225,2.088019999995595,null,213.12895567251022,null,413.1289556725102
Sat Apr 11 20:00:00 UTC 2026,192.63827847214225,2.088019999995595,null,223.64357555555114,null,423.64357555555114
Sat Apr 11 21:00:00 UTC 2026,193.40450477886736,2.088019999995595,null,234.15819543859206,null,434.15819543859203
Sat Apr 11 22:00:00 UTC 2026,282.2867563583885,2.088019999995595,null,244.672815321633,null,444.67281532163304
Sat Apr 11 23:00:00 UTC 2026,285.35166158528955,2.088019999995595,null,255.18743520467393,null,455.18743520467393
Sun Apr 12 00:00:00 UTC 2026,281.52053005169716,2.088019999995595,null,265.7020550877148,null,465.7020550877148
Sun Apr 12 01:00:00 UTC 2026,282.2867563583885,2.088019999995595,null,276.2166749707558,null,476.21667497075583
Sun Apr 12 02:00:00 UTC 2026,282.2867563583885,2.088019999995595,null,286.7312948537967,null,486.7312948537967
Sun Apr 12 03:00:00 UTC 2026,293.7801509591998,2.088019999995595,null,297.2459147368377,null,497.2459147368377
Sun Apr 12 04:00:00 UTC 2026,269.26090914416056,2.088019999995595,null,307.7605346198786,null,507.76053461987857
Sun Apr 12 05:00:00 UTC 2026,226.35223596781668,2.088019999995595,null,318.2751545029196,null,518.2751545029196
Sun Apr 12 06:00:00 UTC 2026,181.9111101780561,2.088019999995595,null,328.78977438596047,null,528.7897743859605
Sun Apr 12 07:00:00 UTC 2026,204.89789937964463,2.088019999995595,null,339.3043942690014,null,539.3043942690014
Sun Apr 12 08:00:00 UTC 2026,254.70260931648227,2.088019999995595,null,349.8190141520423,null,549.8190141520423
Sun Apr 12 09:00:00 UTC 2026,289.9490194256073,2.088019999995595,null,360.33363403508326,null,560.3336340350833
Sun Apr 12 10:00:00 UTC 2026,287.65034050543136,2.088019999995595,null,370.8482539181242,null,570.8482539181242
Sun Apr 12 11:00:00 UTC 2026,310.637129707054,2.088019999995595,null,381.36287380116516,null,581.3628738011652
Sun Apr 12 12:00:00 UTC 2026,296.0788298793757,2.088019999995595,null,391.8774936842061,null,591.8774936842061
Sun Apr 12 13:00:00 UTC 2026,299.1437351062426,2.088019999995595,null,402.39211356724707,null,602.3921135672471
Sun Apr 12 14:00:00 UTC 2026,316.00071385409694,2.088019999995595,null,412.906733450288,null,612.9067334502879
Sun Apr 12 15:00:00 UTC 2026,322.13052430786524,2.088019999995595,null,423.42135333332897,null,623.4213533333289
Sun Apr 12 16:00:00 UTC 2026,330.55901368177547,2.088019999995595,null,433.93597321636986,null,633.9359732163698
Sun Apr 12 17:00:00 UTC 2026,300.6761877196933,2.088019999995595,null,444.4505930994108,null,644.4505930994108
Sun Apr 12 18:00:00 UTC 2026,312.9358086271958,2.088019999995595,null,454.9652129824517,null,654.9652129824517
Sun Apr 12 19:00:00 UTC 2026,322.8967506145906,2.088019999995595,null,465.47983286549265,null,665.4798328654927
Sun Apr 12 20:00:00 UTC 2026,325.96165584145774,2.088019999995595,null,475.9944527485336,null,675.9944527485336
Sun Apr 12 21:00:00 UTC 2026,325.96165584145774,-120.9119800000044,null,486.50907263157455,null,686.5090726315744
Sun Apr 12 22:00:00 UTC 2026,269.26090914416056,-422.9119800000044,null,497.02369251461545,null,697.0236925146154
Sun Apr 12 23:00:00 UTC 2026,323.6629769212818,-449.9119800000044,null,507.5383123976564,null,707.5383123976565
Mon Apr 13 00:00:00 UTC 2026,242.44298840894567,-328.9119800000044,null,518.0529322806973,null,718.0529322806974
Mon Apr 13 01:00:00 UTC 2026,254.70260931648227,-647.9119800000044,null,528.5675521637382,null,728.5675521637382
Mon Apr 13 02:00:00 UTC 2026,263.1310986903924,-143.9119800000044,null,539.0821720467792,null,739.0821720467792
Mon Apr 13 03:00:00 UTC 2026,296.0788298793757,-361.9119800000044,null,549.5967919298201,null,749.5967919298201
Mon Apr 13 04:00:00 UTC 2026,116.0156478000896,-287.9119800000044,null,560.1114118128611,null,760.111411812861
Mon Apr 13 05:00:00 UTC 2026,-31.09980309017908,310.0880199999956,null,570.626031695902,null,770.6260316959019
