date,P_Kweek_64_Kday_-55_ETE_67_ORD_66_EXT_80_E2Ekor_81_EXTkor_67_DIFF_26,a,b,c,d,e
Thu Apr 09 15:00:00 UTC 2026,-682.4388985714319,1.5025299999979325,null,null,null,null
Thu Apr 09 16:00:00 UTC 2026,-750.4974700000021,-327.49747000000207,null,null,null,null
Thu Apr 09 17:00:00 UTC 2026,-730.4146128571375,-337.49747000000207,null,null,null,null
Thu Apr 09 18:00:00 UTC 2026,-725.951755714276,-353.49747000000207,null,null,null,null
Thu Apr 09 19:00:00 UTC 2026,-627.7688985714215,-210.49747000000207,null,null,null,null
Thu Apr 09 20:00:00 UTC 2026,-599.8760414285803,-154.49747000000207,null,null,null,null
Thu Apr 09 21:00:00 UTC 2026,-612.1488985714185,-160.49747000000207,null,null,null,null
Thu Apr 09 22:00:00 UTC 2026,-447.0231842857152,-134.49747000000207,null,null,null,null
Thu Apr 09 23:00:00 UTC 2026,-473.8003271428596,-257.49747000000207,null,null,null,null
Fri Apr 10 00:00:00 UTC 2026,-513.9660414285638,-176.49747000000207,null,null,null,null
Fri Apr 10 01:00:00 UTC 2026,-488.304612857141,-40.49747000000207,null,null,null,null
Fri Apr 10 02:00:00 UTC 2026,-261.8146128571475,-151.49747000000207,null,null,null,null
Fri Apr 10 03:00:00 UTC 2026,-193.7560414285772,-175.49747000000207,null,null,null,null
Fri Apr 10 04:00:00 UTC 2026,-159.16889857143133,-178.49747000000207,null,null,null,null
Fri Apr 10 05:00:00 UTC 2026,-314.2531842857148,-225.49747000000207,null,null,null,null
Fri Apr 10 06:00:00 UTC 2026,-301.9803271428765,-361.49747000000207,null,null,null,null
Fri Apr 10 07:00:00 UTC 2026,-328.75746999999615,-486.49747000000207,null,null,null,null
Fri Apr 10 08:00:00 UTC 2026,-300.8646128571549,-519.4974700000021,null,null,null,null
Fri Apr 10 09:00:00 UTC 2026,-381.19604142858816,-449.49747000000207,null,null,null,null
Fri Apr 10 10:00:00 UTC 2026,-413.5517557142909,-504.49747000000207,null,null,null,null
Fri Apr 10 11:00:00 UTC 2026,-462.6431842857182,-286.49747000000207,null,null,null,null
Fri Apr 10 12:00:00 UTC 2026,-406.857470000011,-181.49747000000207,null,null,null,null
Fri Apr 10 13:00:00 UTC 2026,-418.01461285715243,-316.49747000000207,null,null,null,null
Fri Apr 10 14:00:00 UTC 2026,-363.344612857142,-399.49747000000207,null,null,null,null
Fri Apr 10 15:00:00 UTC 2026,-405.7417557142894,-447.49747000000207,null,null,null,null
Fri Apr 10 16:00:00 UTC 2026,-420.2460414285708,-497.49747000000207,null,null,null,null
