date,P_Kweek_-72_Kday_0_ETE_61_ORD_59_EXT_73_E2Ekor_67_EXTkor_57_DIFF_25,a,b,c,d,e
Tue Apr 07 16:00:00 UTC 2026,1.913,1.796730000001844,192.79673000000184,null,null,null
Tue Apr 07 17:00:00 UTC 2026,1.9144,113.79673000000184,180.1300633333352,null,null,null
Tue Apr 07 18:00:00 UTC 2026,1.91356,116.79673000000184,167.4633966666685,null,null,null
Tue Apr 07 19:00:00 UTC 2026,1.91244,212.79673000000184,154.79673000000184,null,null,null
Tue Apr 07 20:00:00 UTC 2026,1.91122,0.796730000001844,142.1300633333352,null,null,null
Tue Apr 07 21:00:00 UTC 2026,1.91105,120.79673000000184,129.4633966666685,null,null,null
Tue Apr 07 22:00:00 UTC 2026,1.90985,16.796730000001844,116.79673000000184,null,null,null
Tue Apr 07 23:00:00 UTC 2026,1.91008,162.79673000000184,null,null,null,null
Wed Apr 08 00:00:00 UTC 2026,1.91093,169.79673000000184,null,null,null,null
Wed Apr 08 01:00:00 UTC 2026,1.90944,155.79673000000184,255.79673000000184,null,455.79673000000184,null
Wed Apr 08 02:00:00 UTC 2026,1.9071,-63.203269999998156,205.46339666666847,null,405.4633966666685,null
Wed Apr 08 03:00:00 UTC 2026,1.90745,53.796730000001844,155.1300633333352,null,355.13006333333516,null
Wed Apr 08 04:00:00 UTC 2026,1.90719,70.79673000000184,104.79673000000183,null,304.7967300000018,null
Wed Apr 08 05:00:00 UTC 2026,1.90845,-45.203269999998156,54.46339666666853,null,254.46339666666853,null
Wed Apr 08 06:00:00 UTC 2026,1.90624,-35.203269999998156,4.130063333335158,null,204.13006333333516,null
Wed Apr 08 07:00:00 UTC 2026,1.90544,79.79673000000184,-46.203269999998156,null,153.79673000000182,null
Wed Apr 08 08:00:00 UTC 2026,1.9067,-33.203269999998156,-96.5366033333315,null,103.4633966666685,null
Wed Apr 08 09:00:00 UTC 2026,1.89722,-79.20326999999816,-146.8699366666648,null,53.13006333333517,null
Wed Apr 08 10:00:00 UTC 2026,1.89395,-297.20326999999816,-197.20326999999816,null,2.796730000001844,null
Wed Apr 08 11:00:00 UTC 2026,1.89841,-176.20326999999816,null,null,null,null
Wed Apr 08 12:00:00 UTC 2026,1.89752,-108.20326999999816,null,null,null,null
Wed Apr 08 13:00:00 UTC 2026,1.90006,-209.20326999999816,null,null,null,null
Wed Apr 08 14:00:00 UTC 2026,1.89977,-107.20326999999816,null,null,null,null
Wed Apr 08 15:00:00 UTC 2026,1.89838,-190.20326999999816,null,null,null,null
Wed Apr 08 16:00:00 UTC 2026,1.89943,-112.20326999999816,null,null,null,null
Wed Apr 08 17:00:00 UTC 2026,1.89883,-318.20326999999816,null,null,null,null
Wed Apr 08 18:00:00 UTC 2026,1.90111,-255.20326999999816,null,null,null,null
Wed Apr 08 19:00:00 UTC 2026,1.90626,-212.20326999999816,null,null,null,null
Wed Apr 08 20:00:00 UTC 2026,1.908,-226.20326999999816,null,null,null,null
Wed Apr 08 21:00:00 UTC 2026,1.90959,-36.203269999998156,null,null,null,null
Wed Apr 08 22:00:00 UTC 2026,1.9089,-202.20326999999816,null,null,null,null
Wed Apr 08 23:00:00 UTC 2026,1.90547,-193.20326999999816,null,null,null,null
Thu Apr 09 00:00:00 UTC 2026,1.90636,-58.203269999998156,null,null,null,null
Thu Apr 09 01:00:00 UTC 2026,1.90544,129.79673000000184,229.79673000000184,null,null,null
Thu Apr 09 02:00:00 UTC 2026,1.90314,56.796730000001844,168.2411744444463,null,null,null
Thu Apr 09 03:00:00 UTC 2026,1.90151,16.796730000001844,106.68561888889074,null,null,null
Thu Apr 09 04:00:00 UTC 2026,1.9027,84.79673000000184,45.13006333333519,null,null,null
Thu Apr 09 05:00:00 UTC 2026,1.90354,-100.20326999999816,-16.425492222220356,null,null,null
Thu Apr 09 06:00:00 UTC 2026,1.90089,-193.20326999999816,-77.98104777777596,null,null,null
Thu Apr 09 07:00:00 UTC 2026,1.90169,-155.20326999999816,-139.53660333333147,null,null,null
Thu Apr 09 08:00:00 UTC 2026,1.90183,-313.20326999999816,-201.09215888888704,null,null,null
Thu Apr 09 09:00:00 UTC 2026,1.9014,-286.20326999999816,-262.64771444444256,null,null,null
Thu Apr 09 10:00:00 UTC 2026,1.90255,-424.20326999999816,-324.20326999999816,null,null,null
Thu Apr 09 11:00:00 UTC 2026,1.90324,-290.20326999999816,null,null,null,null
Thu Apr 09 12:00:00 UTC 2026,1.90383,-362.20326999999816,null,null,null,null
Thu Apr 09 13:00:00 UTC 2026,1.90308,-352.20326999999816,null,null,null,null
Thu Apr 09 14:00:00 UTC 2026,1.90255,-269.20326999999816,null,null,null,null
Thu Apr 09 15:00:00 UTC 2026,1.90322,-271.20326999999816,null,null,null,null
Thu Apr 09 16:00:00 UTC 2026,1.90366,-204.20326999999816,null,null,null,null
Thu Apr 09 17:00:00 UTC 2026,1.90264,35.796730000001844,null,null,null,null
Thu Apr 09 18:00:00 UTC 2026,1.90551,229.79673000000184,329.79673000000184,null,null,null
Thu Apr 09 19:00:00 UTC 2026,1.90742,134.79673000000184,280.75127545454734,null,null,null
Thu Apr 09 20:00:00 UTC 2026,1.90587,190.79673000000184,231.70582090909272,null,null,null
Thu Apr 09 21:00:00 UTC 2026,1.90579,226.79673000000184,182.66036636363822,null,null,null
Thu Apr 09 22:00:00 UTC 2026,1.90605,16.796730000001844,133.61491181818366,null,null,null
Thu Apr 09 23:00:00 UTC 2026,1.90555,12.796730000001844,84.56945727272912,null,null,null
Fri Apr 10 00:00:00 UTC 2026,1.90316,-34.203269999998156,35.52400272727459,null,null,null
Fri Apr 10 01:00:00 UTC 2026,1.9001,-51.203269999998156,-13.521451818179969,null,null,null
Fri Apr 10 02:00:00 UTC 2026,1.89744,-159.20326999999816,-62.56690636363453,null,null,null
Fri Apr 10 03:00:00 UTC 2026,1.8974,-196.20326999999816,-111.61236090908906,null,null,null
Fri Apr 10 04:00:00 UTC 2026,1.8972,-335.20326999999816,-160.6578154545436,null,null,null
Fri Apr 10 05:00:00 UTC 2026,1.8977,-365.20326999999816,-209.70326999999816,null,null,null
Fri Apr 10 06:00:00 UTC 2026,1.89635,-453.20326999999816,-258.74872454545266,null,null,null
Fri Apr 10 07:00:00 UTC 2026,1.89687,-407.20326999999816,-307.7941790909073,null,null,null
Fri Apr 10 08:00:00 UTC 2026,1.89644,-349.20326999999816,-356.8396336363618,null,null,null
Fri Apr 10 09:00:00 UTC 2026,1.89645,-648.2032699999982,-405.8850881818163,null,null,null
Fri Apr 10 10:00:00 UTC 2026,1.8981,-653.2032699999982,-454.9305427272709,null,null,null
Fri Apr 10 11:00:00 UTC 2026,1.89749,-582.2032699999982,-503.9759972727254,null,null,null
Fri Apr 10 12:00:00 UTC 2026,1.89784,-664.2032699999982,-553.0214518181799,null,null,null
Fri Apr 10 13:00:00 UTC 2026,1.89907,-630.2032699999982,-602.0669063636345,null,null,null
Fri Apr 10 14:00:00 UTC 2026,1.89891,-540.2032699999982,-651.112360909089,null,null,null
Fri Apr 10 15:00:00 UTC 2026,1.89921,-727.2032699999982,-700.1578154545437,null,null,null
Fri Apr 10 16:00:00 UTC 2026,1.89776,-849.2032699999982,-749.2032699999982,null,null,null
Fri Apr 10 17:00:00 UTC 2026,1.8997,-613.2032699999982,null,null,null,null
Fri Apr 10 18:00:00 UTC 2026,1.90118,-609.2032699999982,null,null,null,null
Fri Apr 10 19:00:00 UTC 2026,1.90129,-647.2032699999982,null,null,null,null
Fri Apr 10 20:00:00 UTC 2026,1.90145,-652.2032699999982,null,null,null,null
Fri Apr 10 21:00:00 UTC 2026,1.90115,-652.2032699999982,null,null,null,null
Fri Apr 10 22:00:00 UTC 2026,1.9012,-652.2032699999982,null,null,null,null
Fri Apr 10 23:00:00 UTC 2026,1.90187,-652.2032699999982,null,null,null,null
Sat Apr 11 00:00:00 UTC 2026,1.90172,-652.2032699999982,null,null,null,null
Sat Apr 11 01:00:00 UTC 2026,1.90044,-652.2032699999982,null,null,null,null
