date,P_Kweek_60_Kday_22_ETE_52_ORD_57_EXT_64_E2Ekor_60_EXTkor_50_DIFF_27,a,b,c,d,e
Sat Apr 11 17:00:00 UTC 2026,-68.2175109090922,1.731579999999667,null,null,null,401.8492270588232
Sat Apr 11 18:00:00 UTC 2026,-68.8502381818201,1.731579999999667,null,null,null,399.16687411764667
Sat Apr 11 19:00:00 UTC 2026,-67.90114727272649,1.731579999999667,null,null,null,396.48452117647025
Sat Apr 11 20:00:00 UTC 2026,-68.8502381818201,1.731579999999667,null,null,null,393.8021682352938
Sat Apr 11 21:00:00 UTC 2026,-68.53387454545441,1.731579999999667,null,null,null,391.1198152941173
Sat Apr 11 22:00:00 UTC 2026,-67.90114727272649,1.731579999999667,null,null,null,388.4374623529408
Sat Apr 11 23:00:00 UTC 2026,-68.69205636363725,1.731579999999667,null,null,null,385.75510941176435
Sun Apr 12 00:00:00 UTC 2026,-67.90114727272649,1.731579999999667,null,null,null,383.07275647058793
Sun Apr 12 01:00:00 UTC 2026,-67.90114727272649,1.731579999999667,null,null,null,380.3904035294114
Sun Apr 12 02:00:00 UTC 2026,-67.90114727272649,1.731579999999667,null,null,null,377.708050588235
Sun Apr 12 03:00:00 UTC 2026,-75.65205636363726,1.731579999999667,null,null,null,375.02569764705845
Sun Apr 12 04:00:00 UTC 2026,-72.64660181818056,1.731579999999667,null,null,null,372.34334470588203
Sun Apr 12 05:00:00 UTC 2026,-89.88841999999946,1.731579999999667,null,null,null,369.6609917647056
Sun Apr 12 06:00:00 UTC 2026,-84.66842000000032,1.731579999999667,null,null,null,366.9786388235291
Sun Apr 12 07:00:00 UTC 2026,-82.1375109090922,1.731579999999667,null,null,null,364.29628588235255
Sun Apr 12 08:00:00 UTC 2026,-91.15387454545527,1.731579999999667,null,null,null,361.61393294117613
Sun Apr 12 09:00:00 UTC 2026,-76.12660181818231,1.731579999999667,null,null,null,358.9315799999997
Sun Apr 12 10:00:00 UTC 2026,-70.43205636363814,1.731579999999667,null,null,null,356.24922705882324
Sun Apr 12 11:00:00 UTC 2026,-72.33023818181836,1.731579999999667,null,null,null,353.5668741176467
Sun Apr 12 12:00:00 UTC 2026,-71.38114727272824,1.731579999999667,null,null,null,350.88452117647023
Sun Apr 12 13:00:00 UTC 2026,-77.07569272727241,1.731579999999667,null,null,null,348.2021682352938
Sun Apr 12 14:00:00 UTC 2026,-77.23387454545528,1.731579999999667,null,null,null,345.51981529411734
Sun Apr 12 15:00:00 UTC 2026,-80.23932909090847,1.731579999999667,null,null,null,342.83746235294086
Sun Apr 12 16:00:00 UTC 2026,-79.29023818181835,1.731579999999667,null,null,null,340.15510941176433
Sun Apr 12 17:00:00 UTC 2026,-75.96841999999945,1.731579999999667,null,null,null,337.4727564705879
Sun Apr 12 18:00:00 UTC 2026,-80.55569272727418,1.731579999999667,null,null,null,334.79040352941144
Sun Apr 12 19:00:00 UTC 2026,-79.4484200000012,1.731579999999667,null,null,null,332.10805058823496
Sun Apr 12 20:00:00 UTC 2026,-78.02478363636253,1.731579999999667,null,null,null,329.4256976470585
Sun Apr 12 21:00:00 UTC 2026,-78.02478363636253,19.731579999999667,null,null,null,326.743344705882
Sun Apr 12 22:00:00 UTC 2026,-83.08660181818232,-15.268420000000333,null,null,null,324.06099176470553
Sun Apr 12 23:00:00 UTC 2026,-88.78114727272649,-6.268420000000333,null,null,null,321.37863882352906
Mon Apr 13 00:00:00 UTC 2026,-89.4138745454544,-37.26842000000033,null,null,null,318.69628588235264
Mon Apr 13 01:00:00 UTC 2026,-122.31569272727418,-27.268420000000333,null,null,null,316.0139329411761
Mon Apr 13 02:00:00 UTC 2026,-83.08660181818232,-45.26842000000033,null,null,null,313.3315799999997
Mon Apr 13 03:00:00 UTC 2026,-90.83751090909308,-56.26842000000033,null,null,null,310.64922705882316
