date,P_Kweek_97_Kday_-42_ETE_66_ORD_68_EXT_83_E2Ekor_78_EXTkor_64_DIFF_24,a,b,c,d,e
Sun Apr 12 03:00:00 UTC 2026,-180.29775032370185,143.10499999998137,null,null,null,373.99590909089045
Sun Apr 12 04:00:00 UTC 2026,-169.4391932579476,143.10499999998137,null,null,null,370.05045454543585
Sun Apr 12 05:00:00 UTC 2026,-198.80702374167987,143.10499999998137,null,null,null,366.1049999999814
Sun Apr 12 06:00:00 UTC 2026,-182.08855096519113,143.10499999998137,null,null,null,362.15954545452684
Sun Apr 12 07:00:00 UTC 2026,-182.08855096519113,143.10499999998137,null,null,null,358.2140909090723
Sun Apr 12 08:00:00 UTC 2026,-175.66961944623,143.10499999998137,null,null,null,354.2686363636177
Sun Apr 12 09:00:00 UTC 2026,-169.6146982209981,143.10499999998137,null,null,null,350.3231818181632
Sun Apr 12 10:00:00 UTC 2026,-170.21271513212787,143.10499999998137,null,null,null,346.3777272727086
Sun Apr 12 11:00:00 UTC 2026,-164.7005592555942,143.10499999998137,null,null,null,342.43227272725414
Sun Apr 12 12:00:00 UTC 2026,-167.8693988662215,143.10499999998137,null,null,null,338.48681818179955
Sun Apr 12 13:00:00 UTC 2026,-183.25533396028487,143.10499999998137,null,null,null,334.541363636345
Sun Apr 12 14:00:00 UTC 2026,-178.27294306480275,143.10499999998137,null,null,null,330.5959090908905
Sun Apr 12 15:00:00 UTC 2026,-185.75140454588538,143.10499999998137,null,null,null,326.65045454543593
Sun Apr 12 16:00:00 UTC 2026,-180.00849214386045,143.10499999998137,null,null,null,322.7049999999814
Sun Apr 12 17:00:00 UTC 2026,-177.9219331387018,143.10499999998137,null,null,null,318.75954545452686
Sun Apr 12 18:00:00 UTC 2026,-189.53776161909872,143.10499999998137,null,null,null,314.81409090907226
Sun Apr 12 19:00:00 UTC 2026,-182.43306070747332,143.10499999998137,null,null,null,310.8686363636177
Sun Apr 12 20:00:00 UTC 2026,-180.71376208796244,143.10499999998137,null,null,null,306.9231818181632
Sun Apr 12 21:00:00 UTC 2026,-180.71376208796244,134.10499999998137,null,null,null,302.97772727270865
Sun Apr 12 22:00:00 UTC 2026,-194.60140481228734,47.10499999998137,null,null,null,299.0322727272541
Sun Apr 12 23:00:00 UTC 2026,-222.38969062856538,106.10499999998137,null,null,null,295.0868181817996
Mon Apr 13 00:00:00 UTC 2026,-207.69927520288513,287.1049999999814,null,null,null,291.14136363634503
Mon Apr 13 01:00:00 UTC 2026,-180.2294983936236,95.10499999998137,null,null,null,287.19590909089044
Mon Apr 13 02:00:00 UTC 2026,-212.12915047395018,154.10499999998137,null,null,null,283.2504545454359
Mon Apr 13 03:00:00 UTC 2026,-199.81780232517013,68.10499999998137,null,null,null,279.30499999998136
Mon Apr 13 04:00:00 UTC 2026,-200.93908403354195,2.1049999999813735,null,null,null,275.3595454545268
Mon Apr 13 05:00:00 UTC 2026,-137.22428226251392,34.10499999998137,null,null,null,271.4140909090723
Mon Apr 13 06:00:00 UTC 2026,-221.5511669162162,15.104999999981374,null,null,null,267.46863636361775
Mon Apr 13 07:00:00 UTC 2026,-261.01703295915064,241.10499999998137,null,null,null,263.52318181816315
Mon Apr 13 08:00:00 UTC 2026,-274.2871582208895,173.10499999998137,null,null,null,259.5777272727086
Mon Apr 13 09:00:00 UTC 2026,-257.2729270807499,-47.89500000001863,null,null,null,255.6322727272541
Mon Apr 13 10:00:00 UTC 2026,-312.8950000000186,297.1049999999814,null,null,null,251.68681818179957
Mon Apr 13 11:00:00 UTC 2026,-266.88994903751336,261.1049999999814,null,null,null,247.741363636345
Mon Apr 13 12:00:00 UTC 2026,-263.9681164119242,57.10499999998137,null,null,null,243.79590909089046
Mon Apr 13 13:00:00 UTC 2026,-249.80746596729549,-108.89500000001863,null,null,null,239.85045454543592
Mon Apr 13 14:00:00 UTC 2026,-260.42876632373975,-47.89500000001863,null,null,null,235.90499999998138
Mon Apr 13 15:00:00 UTC 2026,-240.78196073784306,-312.8950000000186,null,null,null,231.95954545452685
Mon Apr 13 16:00:00 UTC 2026,-255.03361375590634,-55.89500000001863,null,null,null,228.0140909090723
Mon Apr 13 17:00:00 UTC 2026,-233.91776662743703,-117.89500000001863,null,null,null,224.06863636361774
Mon Apr 13 18:00:00 UTC 2026,-147.5790750824731,-7.8950000000186265,null,null,null,220.12318181816318
Mon Apr 13 19:00:00 UTC 2026,-128.07527354054244,46.10499999998137,null,null,null,216.17772727270864
Mon Apr 13 20:00:00 UTC 2026,-109.47174745722049,-85.89500000001863,null,null,null,212.2322727272541
Mon Apr 13 21:00:00 UTC 2026,-101.869782483628,-11.895000000018626,null,null,null,208.28681818179956
Mon Apr 13 22:00:00 UTC 2026,-118.38349946988197,-202.89500000001863,null,null,null,204.34136363634497
Mon Apr 13 23:00:00 UTC 2026,-70.03188214956097,-73.89500000001863,null,null,null,200.39590909089046
Tue Apr 14 00:00:00 UTC 2026,-66.35277810931984,91.10499999998137,null,null,null,196.45045454543592
Tue Apr 14 01:00:00 UTC 2026,-15.713096085524057,2.1049999999813735,null,null,null,192.50499999998138
Tue Apr 14 02:00:00 UTC 2026,41.34551745723286,10.104999999981374,null,null,null,188.55954545452684
Tue Apr 14 03:00:00 UTC 2026,24.82530028716019,-53.89500000001863,null,null,null,184.6140909090723
Tue Apr 14 04:00:00 UTC 2026,55.3111623873549,-116.89500000001863,null,null,null,180.66863636361774
Tue Apr 14 05:00:00 UTC 2026,100.40618761553259,1.1049999999813735,null,null,null,176.72318181816317
Tue Apr 14 06:00:00 UTC 2026,129.26700376156037,-222.89500000001863,null,null,null,172.77772727270863
