date,P_Kweek_-24_Kday_0_ETE_72_ORD_69_EXT_85_E2Ekor_82_EXTkor_71_DIFF_25,a,b,c,d,e
Wed Apr 08 15:00:00 UTC 2026,92.37488,62.59700000000885,-354.66615789472803,null,-154.66615789472803,null
Wed Apr 08 16:00:00 UTC 2026,92.40499,310.59700000000885,-335.6852966507088,null,-135.68529665070878,null
Wed Apr 08 17:00:00 UTC 2026,92.42661,241.59700000000885,-316.70443540668964,null,-116.70443540668975,null
Wed Apr 08 18:00:00 UTC 2026,92.23133,-154.40299999999115,-297.72357416267073,null,-97.72357416267062,null
Wed Apr 08 19:00:00 UTC 2026,92.12034,-86.40299999999115,-278.7427129186515,null,-78.74271291865136,null
Wed Apr 08 20:00:00 UTC 2026,92.2072,-396.40299999999115,-259.76185167463234,null,-59.76185167463234,null
Wed Apr 08 21:00:00 UTC 2026,92.22928,-242.40299999999115,-240.7809904306131,null,-40.78099043061309,null
Wed Apr 08 22:00:00 UTC 2026,92.31535,-265.40299999999115,-221.80012918659395,null,-21.800129186594063,null
Wed Apr 08 23:00:00 UTC 2026,92.48396,213.59700000000885,-202.81926794257492,null,-2.8192679425749247,null
Thu Apr 09 00:00:00 UTC 2026,92.42399,304.59700000000885,-183.8384066985559,null,16.161593301444213,null
Thu Apr 09 01:00:00 UTC 2026,92.40236,272.59700000000885,-164.85754545453665,null,35.14245454546335,null
Thu Apr 09 02:00:00 UTC 2026,92.4443,186.59700000000885,-145.8766842105175,null,54.123315789482604,null
Thu Apr 09 03:00:00 UTC 2026,92.45654,134.59700000000885,-126.89582296649837,null,73.10417703350151,null
Thu Apr 09 04:00:00 UTC 2026,92.36564,69.59700000000885,-107.91496172247923,null,92.08503827752077,null
Thu Apr 09 05:00:00 UTC 2026,92.26202,-274.40299999999115,-88.93410047845998,null,111.06589952154002,null
Thu Apr 09 06:00:00 UTC 2026,92.36604,-19.402999999991152,-69.95323923444073,null,130.04676076555916,null
Thu Apr 09 07:00:00 UTC 2026,92.32772,387.59700000000885,-50.972377990421705,null,149.0276220095783,null
Thu Apr 09 08:00:00 UTC 2026,92.32541,215.59700000000885,-31.99151674640268,null,168.00848325359743,null
