date,P_Kweek_25_Kday_-12_ETE_77_ORD_78_EXT_89_E2Ekor_87_EXTkor_75_DIFF_28,a,b,c,d,e
Mon Mar 30 05:00:00 UTC 2026,0.79743,1.0034500000001572,null,null,null,null
Mon Mar 30 06:00:00 UTC 2026,0.79798,-17.996549999999843,null,null,null,null
Mon Mar 30 07:00:00 UTC 2026,0.79926,157.00345000000016,null,null,null,null
Mon Mar 30 08:00:00 UTC 2026,0.79694,217.00345000000016,null,null,null,null
Mon Mar 30 09:00:00 UTC 2026,0.79873,0.0034500000001571607,null,null,null,null
Mon Mar 30 10:00:00 UTC 2026,0.79988,88.00345000000016,null,null,null,null
Mon Mar 30 11:00:00 UTC 2026,0.79988,272.00345000000016,null,null,null,null
Mon Mar 30 12:00:00 UTC 2026,0.79873,27.003450000000157,null,null,null,null
Mon Mar 30 13:00:00 UTC 2026,0.79886,269.00345000000016,null,null,null,null
Mon Mar 30 14:00:00 UTC 2026,0.7987,88.00345000000016,null,null,null,null
Mon Mar 30 15:00:00 UTC 2026,0.79869,-61.99654999999984,38.00345000000016,null,238.00345000000016,338.00345000000016
Mon Mar 30 16:00:00 UTC 2026,0.79863,-110.99654999999984,107.90345000000016,null,307.90345000000013,407.9034500000002
Mon Mar 30 17:00:00 UTC 2026,0.79856,37.00345000000016,177.80345000000017,null,377.8034500000002,477.80345000000017
Mon Mar 30 18:00:00 UTC 2026,0.79872,532.0034500000002,247.70345000000015,null,447.7034500000001,547.7034500000001
Mon Mar 30 19:00:00 UTC 2026,0.79992,577.0034500000002,317.6034500000001,null,517.6034500000002,617.6034500000002
Mon Mar 30 20:00:00 UTC 2026,0.80012,535.0034500000002,387.50345000000016,null,587.5034500000002,687.5034500000002
Mon Mar 30 21:00:00 UTC 2026,0.79957,570.0034500000002,457.4034500000002,null,657.4034500000001,757.4034500000001
Mon Mar 30 22:00:00 UTC 2026,0.79946,551.0034500000002,527.3034500000002,null,727.3034500000001,827.3034500000001
Mon Mar 30 23:00:00 UTC 2026,0.79982,535.0034500000002,597.2034500000001,null,797.2034500000002,897.2034500000002
Tue Mar 31 00:00:00 UTC 2026,0.79988,635.0034500000002,667.1034500000002,null,867.1034500000002,967.1034500000002
Tue Mar 31 01:00:00 UTC 2026,0.80028,637.0034500000002,737.0034500000002,null,937.0034500000002,1037.0034500000002
Tue Mar 31 02:00:00 UTC 2026,0.79997,622.0034500000002,null,null,null,null
Tue Mar 31 03:00:00 UTC 2026,0.80008,591.0034500000002,null,null,null,null
Tue Mar 31 04:00:00 UTC 2026,0.80022,452.00345000000016,null,null,null,null
Tue Mar 31 05:00:00 UTC 2026,0.80048,419.00345000000016,null,null,null,null
Tue Mar 31 06:00:00 UTC 2026,0.79978,467.00345000000016,null,null,null,null
Tue Mar 31 07:00:00 UTC 2026,0.79992,525.0034500000002,null,null,null,null
Tue Mar 31 08:00:00 UTC 2026,0.79953,601.0034500000002,null,null,null,null
Tue Mar 31 09:00:00 UTC 2026,0.79937,212.00345000000016,null,null,null,null
Tue Mar 31 10:00:00 UTC 2026,0.79976,703.0034500000002,null,null,null,null
Tue Mar 31 11:00:00 UTC 2026,0.80004,496.00345000000016,null,null,null,null
Tue Mar 31 12:00:00 UTC 2026,0.79881,345.00345000000016,null,null,null,null
Tue Mar 31 13:00:00 UTC 2026,0.79838,330.00345000000016,null,null,null,null
Tue Mar 31 14:00:00 UTC 2026,0.79839,297.00345000000016,null,null,null,null
Tue Mar 31 15:00:00 UTC 2026,0.7988,278.00345000000016,null,null,null,null
Tue Mar 31 16:00:00 UTC 2026,0.79869,333.00345000000016,null,null,null,null
Tue Mar 31 17:00:00 UTC 2026,0.7992,345.00345000000016,null,null,null,null
Tue Mar 31 18:00:00 UTC 2026,0.7996,508.00345000000016,null,null,null,null
Tue Mar 31 19:00:00 UTC 2026,0.79999,449.00345000000016,null,null,null,null
Tue Mar 31 20:00:00 UTC 2026,0.80003,449.00345000000016,null,null,null,null
Tue Mar 31 21:00:00 UTC 2026,0.80046,365.00345000000016,null,null,null,null
Tue Mar 31 22:00:00 UTC 2026,0.80109,315.00345000000016,null,null,null,null
Tue Mar 31 23:00:00 UTC 2026,0.79968,336.00345000000016,null,null,null,null
Wed Apr 01 00:00:00 UTC 2026,0.80015,448.00345000000016,null,null,null,null
Wed Apr 01 01:00:00 UTC 2026,0.80003,310.00345000000016,null,null,null,null
Wed Apr 01 02:00:00 UTC 2026,0.80345,802.0034500000002,null,null,null,null
Wed Apr 01 03:00:00 UTC 2026,0.80264,414.00345000000016,null,null,null,null
Wed Apr 01 04:00:00 UTC 2026,0.80119,232.00345000000016,null,null,null,null
Wed Apr 01 05:00:00 UTC 2026,0.80081,405.00345000000016,null,null,null,null
Wed Apr 01 06:00:00 UTC 2026,0.80026,436.00345000000016,null,null,null,null
Wed Apr 01 07:00:00 UTC 2026,0.7996,492.00345000000016,null,null,null,null
Wed Apr 01 08:00:00 UTC 2026,0.7994,181.00345000000016,null,null,null,null
Wed Apr 01 09:00:00 UTC 2026,0.79939,206.00345000000016,null,null,null,null
Wed Apr 01 10:00:00 UTC 2026,0.79917,200.00345000000016,null,null,null,null
